2021-05-05 13:06:31 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (c6b89e727bab65511db3b7297786a820)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:12:28 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:12:29 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (92e3033456e74f5749ca59cd64f316a8)] -> id: login-email]
2021-05-05 13:12:35 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (92e3033456e74f5749ca59cd64f316a8)] -> id: password-login]
2021-05-05 13:12:41 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (92e3033456e74f5749ca59cd64f316a8)] -> class name: ProfileButton-avatar]
2021-05-05 13:12:42 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (92e3033456e74f5749ca59cd64f316a8)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:12:43 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (92e3033456e74f5749ca59cd64f316a8)] -> xpath: //button[.='New']]
2021-05-05 13:13:37 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:13:37 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (dab49ddda936d6b8c23afcb04dc1c225)] -> id: login-email]
2021-05-05 13:13:43 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (dab49ddda936d6b8c23afcb04dc1c225)] -> id: password-login]
2021-05-05 13:13:49 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (dab49ddda936d6b8c23afcb04dc1c225)] -> class name: ProfileButton-avatar]
2021-05-05 13:13:52 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (dab49ddda936d6b8c23afcb04dc1c225)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:13:52 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (dab49ddda936d6b8c23afcb04dc1c225)] -> xpath: //button[.='New']]
2021-05-05 13:15:43 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:15:43 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (31f3684870885911c31054c34cdc78f4)] -> id: login-email]
2021-05-05 13:15:49 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (31f3684870885911c31054c34cdc78f4)] -> id: password-login]
2021-05-05 13:15:56 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (31f3684870885911c31054c34cdc78f4)] -> class name: ProfileButton-avatar]
2021-05-05 13:15:57 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (31f3684870885911c31054c34cdc78f4)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:15:57 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (31f3684870885911c31054c34cdc78f4)] -> xpath: //button[.='New']]
2021-05-05 13:17:39 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:17:39 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (12ed45a2abfc32d887d73fdc4facd5d6)] -> id: login-email]
